X,Y,OBJECTID,Line_Name,Station_Name,Street_Address,On_Street,At_Street,City,State,Zip,Municipality,County,Fare_Zone,Owner,Property_Status,Mile_Post,ADA_Accessible,Parking_Available,Number_of_Daily_Parking_Spaces,Daily_Car_Count,Number_of_Bike_Racks,Max_Number_of_Bicycles,Taxi_Stand,Elevators,Escalators,Platform_Type,Ticket_Office,Station_Building,Historic_Station_Building,Enclosed_Waiting_Room,Passenger_Shelter,Passenger_Canopy,Bench,Lighting,Restroom,Trash_Receptacle,Recycling_Bin,Map,Schedule_Information,Fare_Information,Minority_Area,Low_Income_Area,Minority_Low_Income_Area,PA_US_Congressional_District,PA_State_Senate_District,PA_State_House_District,Philadelphia_City_Council_Distr,Weekday_Inbound_Boards,Weekday_Inbound_Leaves,Weekday_Outbound_Boards,Weekday_Outbound_Leaves,Weekday_Total_Boards,Weekday_Total_Leaves,Weekday_Inbound_Trips,Weekday_Outbound_Trips,Saturday_Inbound_Boards,Saturday_Inbound_Leaves,Saturday_Outbound_Boards,Saturday_Outbound_Leaves,Saturday_Total_Boards,Saturday_Total_Leaves,Saturday_Inbound_Trips,Saturday_Outbound_Trips,Sunday_Inbound_Boards,Sunday_Inbound_Leaves,Sunday_Outbound_Boards,Sunday_Outbound_Leaves,Sunday_Total_Boards,Sunday_Total_Leaves,Sunday_Inbound_Trips,Sunday_Outbound_Trips,Total_Daily_Board,Total_Daily_Leaves,Total_Weekly_Boards,Total_Weekly_Leaves,Total_Weekly_Trips,Total_Annual_Boards,Total_Annual_Leaves,Total_Annual_Trips,Stop_ID,Latitude,Longitude,GlobalID
-75.673147042999972,39.694532239000068,140,Wilmington Newark Line,Churchmans Crossing,1 Fairplay Blvd,Fairplay Blvd,Ogletown Stanton Rd,Newark,DE,19713,Upper Christiana,New Castle,4,AMTRAK,Leased,34.3,Yes,Yes,230,230,5,9,No,Yes,Yes,Mini,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,,274,0,6,286,280,286,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,280,286,1400,1430,,71400,72930,,90202,39.69453224,-75.67314704,943f3971-8c51-49af-89e6-87f62a6d2784
-75.451993964999986,39.797852172000034,141,Wilmington Newark Line,Claymont,200 Myrtle Ave,Myrtle Ave,Marion Ave,Claymont,DE,19703,Brandywine,New Castle,4,AMTRAK,Leased,19.6,Yes,Yes,497,449,5,9,No,No,No,Mini,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,,567,12,13,604,580,616,,,62,2,8,49,70,51,,,37,3,2,54,39,57,,,689,724,3009,3188,,153802,163038,,90204,39.79785217,-75.45199396,5b0b26d0-2f93-4f75-b9c8-5932ab91e931
-75.33096636199997,39.871851704000051,142,Wilmington Newark Line,Crum Lynne,350 W. Ridley Ave,W. Ridley Ave,Chester Pike,Ridley Park,PA,19078,Ridley Park,Delaware,3,AMTRAK,Leased,11.2,No,Yes,25,16,0,0,No,No,No,Low,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,7,8,162,,62,7,8,99,70,106,,,24,10,1,15,25,25,,,11,1,2,10,13,11,,,108,142,388,566,,19904,28968,,90209,39.8718517,-75.33096636,e3035bbb-3b81-4eb3-a00d-80206df65416
-75.265025285999968,39.908011672000043,143,Wilmington Newark Line,Curtis Park,400 Oak Ave,Oak Ave,Elmwood Ave,Sharon Hill,PA,19079,Sharon Hill,Delaware,2,AMTRAK,Leased,6.8,No,Yes,24,24,0,0,No,No,No,Low,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,8,162,,66,20,16,72,82,92,,,23,2,3,18,26,20,,,12,0,2,13,14,13,,,122,125,450,493,,23074,25254,,90216,39.90801167,-75.26502529,74801129-6026-4451-b47a-eefa45902e8f
-75.254553409999971,39.912949028000071,144,Wilmington Newark Line,Darby,399 S. 4th St,S. 4th St,Pine St,Darby,PA,19023,Darby,Delaware,2,AMTRAK,Leased,6.1,No,Yes,21,15,0,0,No,No,No,Low,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,8,185,,67,29,40,89,107,118,,,38,10,21,35,59,45,,,28,10,13,29,41,39,,,207,202,635,674,,32731,34692,,90217,39.91294903,-75.25455341,55decbb5-e5e4-4b3b-9b0d-ef2dae112ce8
-75.341661354999985,39.857423661000041,145,Wilmington Newark Line,Eddystone,650 Saville Ave,Saville Ave,Industrial Hwy,Crum Lynne,PA,19022,Eddystone,Delaware,3,AMTRAK,Leased,12.3,No,Yes,12,1,0,0,No,No,No,Low,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,9,159,,55,10,9,53,64,63,,,17,0,0,14,17,14,,,13,0,0,5,13,5,,,94,82,350,334,,17958,17083,,90208,39.85742366,-75.34166135,0bdeb046-2d6c-44bc-89b8-fa7742ddc50d
-75.279755984999952,39.900556051000081,146,Wilmington Newark Line,Folcroft,1555 Baltimore Ave,Baltimore Ave,Elmwood Ave,Folcroft,PA,19032,Folcroft,Delaware,2,AMTRAK,Leased,7.7,No,Yes,43,37,0,0,No,No,No,Low,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,8,162,,165,17,13,175,178,192,,,69,4,8,43,77,47,,,27,9,4,26,31,35,,,286,274,998,1042,,51192,53434,,90214,39.90055605,-75.27975598,a0f9a803-ae84-41b8-aac3-8400bec3462b
-75.290017163999948,39.896274470000037,147,Wilmington Newark Line,Glenolden,85 E. Glenolden Ave,E. Glenolden Ave,Chester Pike,Glenolden,PA,19036,Glenolden,Delaware,2,AMTRAK,Leased,8.3,No,Yes,72,54,0,0,No,No,No,Low,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,1,8,162,,149,10,19,183,168,193,,,46,6,9,53,55,59,,,24,1,6,25,30,26,,,253,278,925,1050,,47440,53791,,90213,39.89627447,-75.29001716,bef56cc6-4fd7-4c49-aa1c-054202ab4474
-75.393030719999956,39.833686115000035,148,Wilmington Newark Line,Highland Avenue,450 Highland Ave,Highland Ave,6th St,Chester,PA,19013,Chester,Delaware,3,AMTRAK,Leased,15.5,No,Yes,13,9,0,0,No,No,No,Low,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,4,200,8,77,12,12,82,89,94,,,60,8,8,100,68,108,,,39,4,6,35,45,39,,,202,241,558,617,,28841,31848,,90206,39.83368612,-75.39303072,4b29f2aa-6a0b-4c16-b32e-813f5c7a8211
-75.41953923899996,39.821655603000067,149,Wilmington Newark Line,Marcus Hook,20 W. 12th St,W. 12th St,Washington Ave,Marcus Hook,PA,19061,Marcus Hook,Delaware,3,AMTRAK,Leased,17.1,No,Yes,342,342,0,0,No,No,No,Low,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,7,9,159,,672,20,9,582,681,602,,,196,3,10,176,206,179,,,76,3,3,100,79,103,,,966,884,3690,3292,,188949,168792,,90205,39.8216556,-75.41953924,91f2bb64-24a3-4adb-9b18-44af0da90032
-75.752793399999973,39.67018255000005,150,Wilmington Newark Line,Newark,10 Mopar Dr & S. College Ave,Mopar Dr,S. College Ave,Newark,DE,19711,Newark,New Castle,4,AMTRAK,Leased,38.9,Yes,Yes,440,269,11,21,No,No,No,Mini,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,,406,0,0,333,406,333,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,406,333,2030,1665,,103530,84915,,90201,39.670178,-75.752792,156cd555-0173-4359-a197-8eb2c22ff5ff
-75.302156044999947,39.89122026900003,151,Wilmington Newark Line,Norwood,498 Welcome Ave,Welcome Ave,Winona Ave,Norwood,PA,19074,Norwood,Delaware,2,AMTRAK,Leased,9,No,Yes,112,76,0,0,No,No,No,Low,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,7,8,162,,271,10,11,240,282,250,,,55,6,6,47,61,53,,,22,3,3,21,25,24,,,368,327,1496,1327,,76532,67898,,90212,39.89122027,-75.30215604,e285a9d4-675c-4733-b298-9b83c540c166
-75.309415495999986,39.888127175000079,152,Wilmington Newark Line,Prospect Park,749 Maryland Ave,Maryland Ave,Lincoln Ave,Propect Park,PA,19076,Prospect Park,Delaware,2,AMTRAK,Leased,9.5,No,Yes,50,50,2,8,No,No,No,Low,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,7,8,162,,223,11,17,238,240,249,,,64,14,6,41,70,55,,,26,3,1,31,27,34,,,337,338,1297,1334,,66406,68327,,90211,39.88812718,-75.3094155,9322228d-b835-499d-825c-e9457259fa6f
-75.322089236999943,39.880527080000036,153,Wilmington Newark Line,Ridley Park,201 E. Hinckley Ave,E. Hinckley Ave,Morton Ave,Ridley Park,PA,19078,Ridley Park,Delaware,3,AMTRAK,Leased,10.4,No,Yes,61,41,5,10,No,No,No,Low,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,7,8,162,,238,16,13,231,251,247,,,97,14,6,88,103,102,,,42,4,4,36,46,40,,,400,389,1404,1377,,72029,70609,,90210,39.88052708,-75.32208924,9cc4679a-07e7-46a8-bb87-c759507d2f4b
-75.270915682999942,39.904257266000059,154,Wilmington Newark Line,Sharon Hill,414 Sharon Ave,Sharon Ave,Elmwood Ave,Sharon Hill,PA,19079,Sharon Hill,Delaware,2,AMTRAK,Leased,7.2,No,Yes,35,21,0,0,No,No,No,Low,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,8,162,,179,25,15,111,194,136,,,53,6,9,36,62,42,,,30,5,5,28,35,33,,,291,211,1067,755,,54724,38778,,90215,39.90425727,-75.27091568,23aa3e77-db11-46d6-9cc2-d174a8d34af8
-75.550934016999975,39.736952045000066,155,Wilmington Newark Line,Wilmington,100 S. French St,E. Front St,French St,Wimington,DE,19801,Wilmington,New Castle,4,AMTRAK,Leased,26.8,Yes,No,N/A,0,0,0,No,Yes,Yes,High,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,,1064,49,25,897,1089,946,,,420,0,0,408,420,408,,,271,0,1,236,272,236,,,1781,1590,6137,5374,,315311,276134,,90203,39.73695205,-75.55093402,74928c95-fa9d-4e9b-b069-9c000f389a3d
